data,municipio,freguesia_zona,localizacao,tipo_vitima,severidade,veiculo_envolvido,idade_vitima,genero_vitima,circunstancias,fonte
2024-07-09,Porto,Francos,Linha do metro em Francos,peão (turista),fatal,metro do Porto,36,masculino,Turista sueco de 36 anos morre atropelado pelo metro em Francos. Atravessou a linha com auscultadores. Morte declarada no local. Circulação cortada entre Senhora da Hora e Casa da Música.,https://observador.pt/2024/07/09/homem-colhido-pelo-metro-no-porto-ia-de-auriculares-nos-ouvidos-era-um-turista-sueco-de-36-anos/
2024-06-06,Matosinhos,São Mamede de Infesta,Rua Oliveira Gaio (São Mamede de Infesta),peão,fatal,automóvel,37,feminino,Mulher venezuelana de 37 anos atropelada intencionalmente pelo ex-namorado que passou por cima do corpo 3 vezes. Vizinhos perseguiram o condutor. Detido pela Polícia Judiciária. Condenado a 25 anos de prisão (pena máxima) - reincidente.,https://portocanal.sapo.pt/noticia/351872
2024-05-13,Matosinhos,Santa Cruz do Bispo,Alameda Infanta Dona Mafalda (Parque do Sardão),peão,fatal,veículo pesado,~70,feminino,Mulher de cerca de 70 anos morre atropelada por veículo pesado que manobrava para sair de empresa. Alerta às 08:53. Já havia falecido à chegada dos socorros.,https://cnnportugal.iol.pt/atropelamento/matosinhos/mulher-com-cerca-de-70-anos-morre-atropelada-em-matosinhos/20240513/66422943d34e04989220c9b0
2024-04,Gondomar,Rio Tinto,Estação de metro Carreira (Rio Tinto),ciclista,ferido grave,metro do Porto,40-50,,Ciclista entre 40 e 50 anos atropelado por metro perto da estação de Carreira em Rio Tinto. Ficou em estado grave.,https://www.jn.pt/7184562619/ciclista-atropelado-pelo-metro-em-rio-tinto-fica-em-estado-grave/
2023-03-11,Porto,Boavista / Casa da Música,Avenida da Boavista (cruzamento com Rua 15 de Novembro),peão,fatal,camião (pesado),72,feminino,Mulher de 72 anos morre atropelada por camião junto à Casa da Música às 11:19. Atravessou fora da passadeira (~100m). Estava ao telemóvel segundo testemunhas. Semáforo verde para veículos.,https://www.jn.pt/local/noticias/porto/porto/mulher-morre-atropelada-por-camiao-na-avenida-da-boavista-16007284.html/
2023-03-02,Porto,Paranhos,Estrada da Circunvalação (junto ao McDonald's),peão/passageiro,fatal + 4 feridos,automóvel,20,masculino,Jovem de 20 anos morre em despiste na Circunvalação perto da meia-noite. 2 feridos graves e 2 ligeiros. 29 operacionais e 11 veículos mobilizados. Feridos transportados ao Hospital de S. João.,https://cidadedoporto.sapo.pt/noticias/jovem-de-20-anos-e-a-vitima-do-acidente-mortal-na-circunvalacao
2023-01-01,Porto,Cedofeita / Boavista,Rua Oliveira Monteiro (cruzamento com Rua da Boavista),utilizador de trotinete,fatal + 1 ferido grave,automóvel,,masculino (morto - 25 anos),Duas pessoas em trotinetes atropeladas por automóvel às 06:15 da manhã de Ano Novo. Vítima mortal de 25 anos. Condutor com taxa de álcool de 1.7g/l (taxa crime). Passageira do carro com ferimentos ligeiros.,https://observador.pt/2023/01/01/um-morto-e-um-ferido-em-estado-critico-apos-atropelamento-no-porto/
2022-10-03,Matosinhos,Matosinhos,Rua 1º de Maio,peão,ferido grave,automóvel,51,masculino,Homem de 51 anos atropelado por automóvel ao final da tarde (18:36). Ferimentos graves. Transportado ao Hospital Pedro Hispano.,https://tvsenhoradahora.com/ferido-grave-apos-atropelamento-em-matosinhos/
2022-08-18,Porto,Boavista,Avenida da Boavista (passadeira),peão,ferido grave (politraumatismos),automóvel (condutor em fuga policial),66,,Peão de 66 anos atropelado na passadeira da Av. Boavista por condutor que fugia da PSP. Vítima sofreu politraumatismos graves. Transportada ao Hospital Santo António.,https://rr.pt/noticia/pais/2022/08/18/homem-em-fuga-causa-ferido-grave-em-atropelamento-no-porto/296354/
2022-07-18,Matosinhos,Pias / Custóias,Estação de metro de Pias (Linha Verde),peão,fatal,metro do Porto,23,feminino,Mulher de 23 anos morre atropelada pelo metro do Porto junto à estação de Pias na manhã de segunda-feira (~09:00). Linha Verde interrompida entre Fórum da Maia e Senhora da Hora.,https://oprimeirodejaneiro.sapo.pt/noticias/jovem-de-23-anos-morre-atropelada-pelo-metro-em-matosinhos
2022,Matosinhos,Circunvalação,Estrada da Circunvalação (Matosinhos),ciclista,ferido grave,automóvel (condutor em fuga policial),,,Ciclista atropelado na Circunvalação em Matosinhos por Vítor Macedo ('rei dos catalisadores') que fugia da PSP. Ciclista com ferimentos graves. Condutor condenado a 3 anos e 4 meses.,https://portocanal.sapo.pt/noticia/348334
2019-11-09,Porto,Bonfim,Cruzamento Rua Morgado de Mateus com Rua Visconde de Bóbeda,peão,fatal (peão + condutor),automóvel,,ambos ~60 anos,Carro despista-se contra casa no centro do Porto às 08:24. Condutor e peão morrem. Ambas as vítimas na casa dos 60 anos.,https://cidade.fm/noticia/dois-mortos-em-acidente-no-centro-do-porto
2024-02-19,Maia,Moreira da Maia,Rua Cruz das Guardeiras,peão,mortal,própria viatura,,,"Pessoa morreu atropelada pela própria viatura, alerta às 09:22",portocanal.sapo.pt
2024-02-29,Vila Nova de Gaia,São Félix da Marinha,Estação da Granja,peão,ferido grave,comboio,37,M,"Homem atropelado por comboio na estação da Granja, transportado em estado grave para Hospital Santos Silva",cmjornal.pt
2024-04-20,Espinho,Paramos,Linha do Norte,peão,mortal,comboio,~30,M,"Homem colhido por comboio na Linha do Norte em Paramos, 200m da estação, sem indícios de crime",publico.pt
2024-05-31,Maia,Águas Santas,,peão,ferido,,,,Atropelamento rodoviário registado às 20:18,traumas.online
2024-06-16,Valongo,Valongo,Rua Central do Campo,ciclista,mortal,ligeiro passageiros,64,M,"Ciclista pedalava com genro quando condutor de 23 anos perdeu controlo e o abalroou, corpo projetado 10m para stand automóveis",jn.pt
2024-06-17,Gondomar,São Cosme/Valbom/Jovim,,peão,mortal,,,,"Peão morreu atropelado, alerta às 08:44, óbito confirmado às 09:19",portocanal.sapo.pt
2024-07-07,Espinho,Espinho,Rua Nº8 Linha do Norte,peão,mortal,comboio,,M,"Homem morreu colhido por comboio às 08:06, circulação restabelecida às 10:30",cmjornal.pt
2024-07-19,Paços de Ferreira,Ferreira,Via do Poder Local,peão,ferido ligeiro,,,,"Atropelamento rodoviário, vítima transportada ao Hospital Padre Américo em Penafiel",averdade.com
2024-07-22,Póvoa de Varzim,Póvoa de Varzim,Praça Marquês de Pombal (frente à PSP),peão,ferido grave,,72,F,"Mulher atropelada em frente à esquadra da PSP, transportada em estado grave para Hospital Pedro Hispano",jn.pt
2024-08-04,Vila do Conde,Vila do Conde,Rua 5 de Outubro junto Rotunda dos Fundadores,peão,ferido grave,,,F,"Mulher atropelada em passadeira, transportada para Hospital São João",jornal-renovacao.pt
2024-08-14,Santa Maria da Feira,Escapães,,peão,ferido,,,,Atropelamento rodoviário registado às 08:56,traumas.online
2024-08-20,Espinho,Paramos,EN109,peão,ferido moderado,,~70,M,"Homem atropelado às 08:30, transportado para Hospital de Gaia",cmjornal.pt
2024-09-04,Espinho,Espinho,Rua 19 cruzamento com Rua 30,peão,ferido grave,ligeiro passageiros,85,M,"Idoso atropelado em passadeira, traumatismo cranioencefálico grave, projetado 6 metros, transportado para Hospital Santos Silva",defesadeespinho.pt
2024-09-28,Arouca,Alvarenga,,peão,ferido grave,automóvel,,,"Peão atropelado por carro, transportado para Hospital São Sebastião em Santa Maria da Feira",cmjornal.pt
2024-10-09,Vila Nova de Gaia,Madalena,Avenida dos Descobrimentos,peão,ferido ligeiro,,,,"Atropelamento às 08:11, vítima transportada para Hospital de Gaia",ogaiense.pt
2024-10-14,Vila Nova de Gaia,Serzedo,Largo Rainha Santa Isabel (empresa reciclagem),peão,mortal,camião,74,M,"Trabalhador morreu atropelado por camião dentro de empresa, acidente de trabalho",cmjornal.pt
2024-10-16,Porto,Constituição,Rua da Constituição,peão,ferido grave,automóvel,~55,M,"Homem sentiu-se mal e caiu na via sendo atropelado por carro às 20:22, transportado para Hospital Santo António",cmjornal.pt
2024-10-29,São João da Madeira,São João da Madeira,Rua João de Deus,peão,ferido grave,ligeiro passageiros,70,F,"Mulher atropelada por carro conduzido por jovem de 20 anos, transportada para Hospital São Sebastião na Feira",diarioaveiro.pt
2024-11-18,São João da Madeira,São João da Madeira,Avenida Eng. Arantes Oliveira,peão,ferido ligeiro,,idoso,M,"Idoso a atravessar passadeira quando veículo se aproximou, causando queda",traumas.online
2024-11-19,Vila Nova de Gaia,Serzedo,,peão,ferido,,,,Atropelamento rodoviário registado às 19:26,traumas.online
2024-11-22,Paços de Ferreira,Freamunde,Largo de São Francisco,peão,ferido ligeiro,,,,"Atropelamento rodoviário, vítima transportada ao Hospital Padre Américo",averdade.com
2024-12-02,Paredes,Besteiros,,peão,ferido,,,,"Atropelamento rodoviário às 13:58, GNR e bombeiros no local",averdade.com
2024-12-06,Maia,Cidade da Maia,Rua Eng. Duarte Pacheco,peão,3 feridos ligeiros,motociclo,,,3 peões atropelados por motociclo às 17:42 entre Rua do Picoto e Rua Clotilde Ferreira da Cruz,noticiasmaia.com
2024-12-08,Santo Tirso,Lamelas,,peão,ferido grave,ligeiro passageiros,,,"Condutor de 40 anos atropelou vítima e fugiu sem prestar auxílio, identificado pelo NICAVE da GNR",noticiasaominuto.com
2024-12-09,Gondomar,Baguim do Monte,Rua Dom António Castro Meireles,peão,ferido ligeiro,automóvel,,F,"Mulher atropelada às 13:53, transportada para Hospital Santo António",cmjornal.pt
2024-12-15,Maia,Vila Nova da Telha/Moreira,Rua da Fábrica,peão,ferido muito grave,automóvel,78,F,"Mulher atropelada às 09:00, entrou em paragem cardiorrespiratória",cmjornal.pt
2024-12-17,Vila do Conde,Gião,EN306,peão,mortal,ligeiro passageiros,11,F,"Isabel saía do autocarro escolar e atravessava EN306 quando foi atropelada, morreu dia 19 no Hospital São João",diariodominho.pt
2025-01-04,Oliveira de Azeméis,Oliveira de Azeméis,EN1,ciclista,mortal,Jaguar (ligeiro),64,M,"Justino Oliveira pedalava com amigo de 56 anos quando Jaguar os abalroou por trás, ciclista entrou em paragem cardiorrespiratória",cmjornal.pt
2025-01-07,Matosinhos,Matosinhos,Rua Nova de Sendim,peão,ferido grave,automóvel,55,F,"Mãe e filha atravessavam rua de mão dada fora da passadeira, filha de 55 anos ferida grave, mãe de 87 ferida ligeira",cmjornal.pt
2025-01-10,Valongo,Ermesinde,Rua Eng. Duarte Pacheco,peão,ferido grave,,86,M,"Idoso atropelado às 12:53, motociclista atrás também se despistou com ferimentos ligeiros, ambos para Hospital São João",cmjornal.pt
2025-02-06,Paredes,Lordelo,EN209 km 26.9,peão,ferido grave,ligeiro passageiros,,,"Atropelamento às 19:18, vítima transportada para Hospital de Penafiel",averdade.com
2025-02-12,Póvoa de Varzim,Argivai,EN206 / Rua São Miguel-O-Anjo,peão,mortal,ligeiro passageiros,~60,M,"Homem atropelado às 21:00, via com frequentes atropelamentos, condutor com ferimentos ligeiros",jornal-renovacao.pt
2025-02-14,Vila Nova de Gaia,Gaia,Entre estações João de Deus e D. João II,peão,ferido grave,metro,~40,F,"Mulher atropelada pelo metro às 14:40, várias fraturas, consciente, circulação retomada às 15:30",radioregional.pt
2025-04-09,Valongo,Ermesinde,Rua José Ribeiro Teles,peão,ferido grave,automóvel,,M,"Homem atravessou rua a correr e foi atropelado às 10:38, transportado para Hospital São João",jornalnovoregional.pt
2025-04-23,Espinho,Espinho,Cruzamento Rua 19 com Rua 26 (jardim tribunal),peão,2 feridos graves + 2 ligeiros,VMER INEM,,,Viatura VMER do INEM despistou-se em urgência às 10:31 e atropelou duas mulheres - médica do INEM e uma atropelada em estado grave,publico.pt
2025-05-06,Vila Nova de Gaia,Gaia,Estação D. João II,peão,ferido ligeiro,metro,50,F,"Mulher entalou mão na porta do metro e foi arrastada cerca de 2 metros, escoriações nos joelhos e cabeça",cnnportugal.iol.pt
2025-05-22,Gondomar,Valbom,Rua da Giesta,peão,ferido ligeiro,automóvel,,,"Peão atropelado às 08:28, transportado para Hospital Santo António",cmjornal.pt
2025-05-30,Porto,Porto (túnel),Túnel São Bento-Campanhã,peão,mortal,comboio,38,M,"Homem colhido por comboio no túnel entre São Bento e Campanhã, alerta às 21:15, circunstâncias em investigação",rr.pt
2025-07-02,Vila Nova de Gaia,São Félix da Marinha,Estação da Granja Linha do Norte,peão,mortal,comboio,40-50,M,"Atropelamento ferroviário mortal junto à estação da Granja, alerta às 10:58, circulação retomada às 12:09",jn.pt
2025-07-31,Trofa,São Martinho de Bougado,Rua João de Barros Finzes,peão,ferido grave,automóvel,7,,"Criança de 7 anos com fratura no ombro e TCE + jovem 18 anos com corte no braço, condutor de 63 anos fugiu e entregou-se",onoticiasdatrofa.pt
2025-08-06,Vila Nova de Gaia,Gaia,Junto à estação João de Deus Linha Amarela,peão,ferido ligeiro,metro,~60,F,"Mulher colhida pelo metro e ficou debaixo da estrutura, retirada com vida com múltiplas fraturas, 22 operacionais no local",radiometropolitanaporto.pt
2025-10-23,Penafiel,Cabeça Santa,EN106,peão,mortal,carrinha,71,M,"Homem atropelado por carrinha às 07:41, entrou em paragem cardiorrespiratória, óbito declarado no local",jn.pt
2025-10-~,Gondomar,Rio Tinto,Junto à Galp EN15,peão,ferido ligeiro,automóvel,20,F,"Jovem atropelada em passadeira, condutor alegou encadeamento pelo sol",cmjornal.pt
2025-12-29,Penafiel,Irivo,Apeadeiro de Irivo Linha do Douro,peão,mortal,comboio,28,F,"Mulher atropelada por comboio Porto-Penafiel após as 20:20, PJ investiga",observador.pt
2017-03-16,Vila Nova de Gaia,Gulpilhares/Valadares,Avenida Infante de Sagres - marginal de Valadares,ciclista,mortal,automóvel (fuga à GNR),35,M,"Luís Silva, ex-paraquedista, foi atropelado mortalmente por Fábio Matias (33 anos) que conduzia sem carta e fugia à GNR a alta velocidade em contramão. Condutor detido e condenado por homicídio.",https://www.cmjornal.pt/portugal/detalhe/20180623-0203-22-cadastrado-em-fuga-a-gnr-mata-ciclista-em-gaia
2021-03-27,Vila Nova de Gaia,Valadares,Avenida Infante de Sagres,ciclista,mortal,motociclo,desconhecida,desconhecido,Colisão entre motociclo e bicicleta às 13h20. Ciclista morreu no local. Outro envolvido com ferimentos ligeiros transportado ao Hospital Santos Silva. 20 operacionais e 9 veículos mobilizados.,https://tvi.iol.pt/noticias/sociedade/acidente/colisao-entre-moto-e-bicicleta-faz-um-morto-em-vila-nova-de-gaia
2021-11-01,Matosinhos,Leça da Palmeira,Avenida da Liberdade - junto ao farol,ciclista (a pé com bicicleta),mortal,automóvel,desconhecida,M,Homem atravessava passadeira com bicicleta na mão e a passear o cão quando foi atropelado. Óbito declarado no local. 17 operacionais e 5 veículos mobilizados.,https://www.cmjornal.pt/portugal/detalhe/ciclista-morre-atropelado-em-leca-da-palmeira
2022-04-23,Matosinhos,Custóias,Rua França Borges (junto ao Estabelecimento Prisional de Custóias),ciclista (bicicleta elétrica),mortal,automóvel ligeiro,27,F,Colisão frontal entre veículo ligeiro e bicicleta elétrica às 23h06. Jovem mulher morreu no local. INEM e bombeiros responderam ao acidente.,https://www.radiometropolitanaporto.pt/jovem-ciclista-morre-atropelada-em-matosinhos/
2021-01-31,Gondomar,São Pedro da Cova,,ciclista,mortal,nenhum (queda),54,M,"Homem de 54 anos morreu na sequência de queda da bicicleta durante passeio em São Pedro da Cova, Gondomar.",https://bttlobo.com/passeio-de-bicicleta-fatal-para-homem-de-gondomar/
2023-04-25,Santo Tirso,Poupa (variante EN104),EN104 variante,ciclista,ferido grave,automóvel ligeiro,52,M,Colisão entre bicicleta e veículo ligeiro de passageiros às 10h30. Vítima transportada ao Centro Hospitalar do Médio Ave (Famalicão). PSP investiga causas.,https://jornaldoave.sapo.pt/ciclista-gravemente-ferido-em-santo-tirso/
2023-11-29,Vila Nova de Gaia,Gulpilhares,Rua Salvador Brandão,utilizador de trotinete,ferido grave,camião,29,M,Colisão entre trotinete elétrica e camião às 17h00. Vítima transportada ao Hospital de Gaia com ferimentos graves. GNR investiga causas.,https://www.cmjornal.pt/portugal/detalhe/ferido-com-gravidade-em-colisao-entre-trotinete-e-camiao-em-gaia
2020-05-10,Póvoa de Varzim,,Ciclovia Póvoa-Famalicão,ciclista,ferido grave,automóvel,24,M,"Miguel Peliteiro, 24 anos, atropelado na ciclovia Póvoa-Famalicão. Esteve 3 semanas em coma. Caso gerou debate sobre segurança em ciclovias.",https://www.publico.pt/2020/09/09/p3/noticia/pessoas-medo-andar-bicicleta-pudera-testemunho-miguel-atropelado-ciclovia-1930092
2023-04-08,Penafiel,Rans,,ciclista,mortal,nenhum (queda contra muro),desconhecida,M,"Ciclista embateu contra muro junto à sua residência às 18h40. Encontrado em paragem cardiorrespiratória. Apesar de manobras de reanimação, óbito declarado no local.",https://www.cmjornal.pt/portugal/detalhe/ciclista-morre-ao-embater-contra-muro-em-penafiel
2025-08-07,São João da Madeira,,Rua Oliveira Júnior,ciclista,ferido ligeiro,automóvel,desconhecida,desconhecido,Colisão entre bicicleta e automóvel numa quinta-feira à tarde. Vítima com ferimentos ligeiros transportada ao Hospital da Feira. PSP investiga causas.,https://www.cmjornal.pt/portugal/detalhe/ciclista-ferido-apos-colisao-com-carro-em-sao-joao-da-madeira
2019-11-09,Porto,Bonfim,Rua Morgado de Mateus / Rua Visconde de Bóbeda,peao,mortal,automovel (despiste),,masculino,Despiste de automovel que embateu em casa; condutor e peao morreram; peao estava no passeio e foi projetado para dentro da habitacao; ambas as vitimas tinham cerca de 60 anos,https://www.publico.pt/2019/11/09/local/noticia/despiste-automovel-centro-porto-mata-condutor-peao-1893115
2019-01-11,Vila Nova de Gaia,Gaia centro,Avenida D. Joao II,peao,mortal,autocarro,75,feminino,Mulher de 75 anos atropelada por autocarro; obito declarado no local; alerta as 09h26,https://24noticias.sapo.pt/atualidade/artigos/atropelamento-em-gaia-provoca-uma-vitima-mortal-de-75-anos
2019-10-07,Vila Nova de Gaia,,Vila Nova de Gaia,peao,mortal,camiao,,feminino,Mulher morre atropelada por camiao em Gaia; projetada e esmagada contra muro,https://ionline.sapo.pt/2019/10/07/mulher-morre-na-sequencia-de-atropelamento-em-gaia/
2019-08-19,Vila Nova de Gaia,Aguda,Linha do Norte (estacao Aguda),peao,mortal,comboio,~45,masculino,Atropelamento ferroviario na Linha do Norte junto a estacao de Aguda; homem de cerca de 45 anos; alerta pelas 15h,https://observador.pt/2019/08/19/atropelamento-ferroviario-corta-circulacao-na-linha-do-norte-em-vila-nova-de-gaia/
2019-01-30,Gondomar,Valbom,IC29 junto a rotunda do Freixo,peao,mortal,automovel,,feminino,Mulher atravessava a estrada no IC29 sentido Porto-Gondomar quando foi colhida mortalmente; acidente pelas 22h42,https://www.jn.pt/pais/artigo/acidente-no-ic29-em-gondomar-faz-um-morto-/10513523
2019-07-15,Gondomar,Rio Tinto,Passagem de nivel do Caneiro,peao,mortal,comboio,78,masculino,Homem de 78 anos atravessou a linha na passagem de nivel do Caneiro; maquinista tentou alertar; vitima correu mas nao conseguiu chegar a plataforma; alerta as 13h40,https://observador.pt/2019/07/15/atropelamento-ferroviario-em-rio-tinto-provocou-um-morto/
2018-12-10,Vila Nova de Gaia,Gulpilhares,Travessa do Fojo / Rua de Norton de Matos,peao,mortal,automovel (Renault Megane),~50,masculino,Homem atropelado mortalmente por casal que fugiu do local; acidente pelas 22h10; vitima encontrada em paragem cardiorrespiratoria; testemunha anotou matricula,http://www.jn.pt/justica/artigo/atropelaram-mortalmente-um-homem-em-gaia-e-fugiram/10300348
2018-10-08,Matosinhos,Matosinhos centro,Rua Alfredo Cunha,peao,mortal,automovel ligeiro,,masculino,Homem morreu atropelado por veiculo ligeiro no centro de Matosinhos numa segunda-feira de manha pelas 10h30,https://www.noticiasaominuto.com/pais/1094162/atropelamento-rodoviario-faz-uma-vitima-mortal-no-centro-de-matosinhos
2018-06-11,Porto,Lordelo do Ouro,Rua do Campo Alegre,peao,mortal,automovel,72,feminino,Maria Dulce Leal de 72 anos atropelada numa passadeira na Rua do Campo Alegre; colhida por veiculo conduzido por mulher de 81 anos; obito no local,https://www.jn.pt/pais/artigo/mulher-morre-atropelada-numa-passadeira-no-porto/9431869
2018-03-07,Trofa,Sao Martinho de Bougado,Estrada Nacional 104,peao,mortal,autocarro (Transdev),83,feminino,Mulher de 83 anos atropelada por autocarro pesado de passageiros (Transdev) ao atravessar a EN104 pelas 19h11,https://www.publico.pt/2018/03/07/sociedade/noticia/mulher-de-83-anos-morre-atropelada-por-autocarro-1805818
2018-05-24,Maia,Vila Nova da Telha,Rua Nova de Quires,peao,mortal,camiao do lixo (Maiambiente),71,feminino,Maria de 71 anos (1.47m de altura) atropelada por camiao do lixo municipal (Maiambiente) em angulo morto; motorista absolvido em tribunal,https://www.noticiasmaia.com/condutor-de-camiao-da-maiambiente-absolvido-apos-atropelamento-mortal-de-idosa-na-maia/
2017-10-24,Gondomar,,Avenida em Gondomar,peao,mortal,automovel eletrico,,feminino,Jovem atropelada mortalmente por carro eletrico; tribunal de 1a instancia considerou culpa exclusiva da vitima; caso chegou ao Supremo sobre seguro e circulacao silenciosa do veiculo eletrico,https://www.jn.pt/justica/artigo/supremo-absolve-seguradora-por-atropelamento-mortal-com-carro-eletrico-em-gondomar/14781229
2017-03-16,Vila Nova de Gaia,Valadares,,ciclista,mortal,automovel,,masculino,Ciclista sem carta morto em acidente em Valadares (caso ja conhecido),
2016-11-12,Matosinhos,,Rua do Gondivai,peao,mortal,automovel,12,masculino,Rapaz de 12 anos atropelado apos sair de autocarro; passou por tras do autocarro e foi colhido por veiculo; transportado em paragem cardiorrespiratoria para Hospital de Sao Joao; era filho de enfermeira do INEM,https://www.noticiasaominuto.com/pais/686870/crianca-de-12-anos-morre-atropelada-em-matosinhos-apos-sair-de-autocarro
2015-09-18,Porto,Lordelo do Ouro,Avenida Gomes da Costa (junto a Fundacao Serralves),peao,mortal,automovel,,desconhecido,Peao atropelado em passadeira pelas 14h30; condutor na 2a via nao travou nem desviou; outro veiculo na 1a via tinha parado; vitima projetada 40 metros; condutor fugiu sem carta; condenado a 2 anos e 6 meses de prisao efetiva,https://www.noticiasaominuto.com/pais/1103136/dois-anos-e-meio-de-prisao-para-atropelamento-mortal-e-fuga-no-porto
2014-03-19,Porto,Cedofeita,Praca da Republica (junto ao Pingo Doce),peao,mortal,autocarro,,feminino,Mulher atropelada por autocarro junto ao Pingo Doce na Praca da Republica pelas 11h00; lesoes incompativeis com a vida; era conhecida na zona e morava perto,https://www.publico.pt/2014/03/19/local/noticia/mulher-morre-atropelada-por-autocarro-no-centro-do-porto-1628880
2013-00-00,Porto,,Porto (passadeira),peao,mortal,autocarro STCP (linha 504),68,masculino,Homem de 68 anos atropelado em passadeira pelas 09h15 por autocarro da linha 504 da STCP; projetado 15 metros; morreu no hospital,https://www.jn.pt/local/noticias/porto/porto/stcp-averigua-atropelamento-mortal-em-passadeira-2013642.html
2020-01-01,Valongo,Ermesinde,Estação de Ermesinde (Linha Porto-Braga),peão,mortal,comboio,30,masculino,Homem de 30 anos atropelado por comboio cerca das 01h30 junto à estação de Ermesinde no sentido Porto-Braga. Causas por apurar.,https://sol.sapo.pt/2020/01/01/homem-morre-atropelado-por-comboio-junto-a-estacao-de-ermesinde/
