data,municipio,freguesia_zona,localizacao,tipo_vitima,severidade,veiculo_envolvido,idade_vitima,genero_vitima,circunstancias,fonte
2024-07-09,Porto,Francos,Linha do metro em Francos,peão (turista),fatal,metro do Porto,36,masculino,"Turista sueco de 36 anos morre atropelado pelo metro em Francos. Atravessou a linha com auscultadores. Morte declarada no local. Circulação cortada entre Senhora da Hora e Casa da Música.",https://observador.pt/2024/07/09/homem-colhido-pelo-metro-no-porto-ia-de-auriculares-nos-ouvidos-era-um-turista-sueco-de-36-anos/
2024-06-06,Matosinhos,São Mamede de Infesta,Rua Oliveira Gaio (São Mamede de Infesta),peão,fatal,automóvel,37,feminino,"Mulher venezuelana de 37 anos atropelada intencionalmente pelo ex-namorado que passou por cima do corpo 3 vezes. Vizinhos perseguiram o condutor. Detido pela Polícia Judiciária. Condenado a 25 anos de prisão (pena máxima) - reincidente.",https://portocanal.sapo.pt/noticia/351872
2024-05-13,Matosinhos,Santa Cruz do Bispo,Alameda Infanta Dona Mafalda (Parque do Sardão),peão,fatal,veículo pesado,~70,feminino,"Mulher de cerca de 70 anos morre atropelada por veículo pesado que manobrava para sair de empresa. Alerta às 08:53. Já havia falecido à chegada dos socorros.",https://cnnportugal.iol.pt/atropelamento/matosinhos/mulher-com-cerca-de-70-anos-morre-atropelada-em-matosinhos/20240513/66422943d34e04989220c9b0
2024-04,Gondomar,Rio Tinto,Estação de metro Carreira (Rio Tinto),ciclista,ferido grave,metro do Porto,40-50,,"Ciclista entre 40 e 50 anos atropelado por metro perto da estação de Carreira em Rio Tinto. Ficou em estado grave.",https://www.jn.pt/7184562619/ciclista-atropelado-pelo-metro-em-rio-tinto-fica-em-estado-grave/
2023-03-11,Porto,Boavista / Casa da Música,Avenida da Boavista (cruzamento com Rua 15 de Novembro),peão,fatal,camião (pesado),72,feminino,"Mulher de 72 anos morre atropelada por camião junto à Casa da Música às 11:19. Atravessou fora da passadeira (~100m). Estava ao telemóvel segundo testemunhas. Semáforo verde para veículos.",https://www.jn.pt/local/noticias/porto/porto/mulher-morre-atropelada-por-camiao-na-avenida-da-boavista-16007284.html/
2023-03-02,Porto,Paranhos,Estrada da Circunvalação (junto ao McDonald's),peão/passageiro,fatal + 4 feridos,automóvel,20,masculino,"Jovem de 20 anos morre em despiste na Circunvalação perto da meia-noite. 2 feridos graves e 2 ligeiros. 29 operacionais e 11 veículos mobilizados. Feridos transportados ao Hospital de S. João.",https://cidadedoporto.sapo.pt/noticias/jovem-de-20-anos-e-a-vitima-do-acidente-mortal-na-circunvalacao
2023-01-01,Porto,Cedofeita / Boavista,Rua Oliveira Monteiro (cruzamento com Rua da Boavista),utilizador de trotinete,fatal + 1 ferido grave,automóvel,,masculino (morto - 25 anos),"Duas pessoas em trotinetes atropeladas por automóvel às 06:15 da manhã de Ano Novo. Vítima mortal de 25 anos. Condutor com taxa de álcool de 1.7g/l (taxa crime). Passageira do carro com ferimentos ligeiros.",https://observador.pt/2023/01/01/um-morto-e-um-ferido-em-estado-critico-apos-atropelamento-no-porto/
2022-10-03,Matosinhos,Matosinhos,Rua 1º de Maio,peão,ferido grave,automóvel,51,masculino,"Homem de 51 anos atropelado por automóvel ao final da tarde (18:36). Ferimentos graves. Transportado ao Hospital Pedro Hispano.",https://tvsenhoradahora.com/ferido-grave-apos-atropelamento-em-matosinhos/
2022-08-18,Porto,Boavista,Avenida da Boavista (passadeira),peão,ferido grave (politraumatismos),automóvel (condutor em fuga policial),66,,"Peão de 66 anos atropelado na passadeira da Av. Boavista por condutor que fugia da PSP. Vítima sofreu politraumatismos graves. Transportada ao Hospital Santo António.",https://rr.pt/noticia/pais/2022/08/18/homem-em-fuga-causa-ferido-grave-em-atropelamento-no-porto/296354/
2022-07-18,Matosinhos,Pias / Custóias,Estação de metro de Pias (Linha Verde),peão,fatal,metro do Porto,23,feminino,"Mulher de 23 anos morre atropelada pelo metro do Porto junto à estação de Pias na manhã de segunda-feira (~09:00). Linha Verde interrompida entre Fórum da Maia e Senhora da Hora.",https://oprimeirodejaneiro.sapo.pt/noticias/jovem-de-23-anos-morre-atropelada-pelo-metro-em-matosinhos
2022,Matosinhos,Circunvalação,Estrada da Circunvalação (Matosinhos),ciclista,ferido grave,automóvel (condutor em fuga policial),,,"Ciclista atropelado na Circunvalação em Matosinhos por Vítor Macedo ('rei dos catalisadores') que fugia da PSP. Ciclista com ferimentos graves. Condutor condenado a 3 anos e 4 meses.",https://portocanal.sapo.pt/noticia/348334
2019-11-09,Porto,Bonfim,Cruzamento Rua Morgado de Mateus com Rua Visconde de Bóbeda,peão,fatal (peão + condutor),automóvel,,ambos ~60 anos,"Carro despista-se contra casa no centro do Porto às 08:24. Condutor e peão morrem. Ambas as vítimas na casa dos 60 anos.",https://cidade.fm/noticia/dois-mortos-em-acidente-no-centro-do-porto
